,Data,Loja,Marca,Produto,Preço (R$)
0,2026-03-26,Kabum,Intel,"Processador Intel I7-2600,  3.80ghz,  8mb, Cache - FcLGA",264.58
1,2026-03-26,Kabum,Intel,"Processador Intel I7-4770,3,9ghz,8MB Cache - FCLGA1150",326.64
2,2026-03-26,Kabum,Intel,"Processador Intel Core I7 4770, 3.4GHz, Cache 8MB, 1150, Sem Cooler",335.47
3,2026-03-26,Kabum,Intel,Processador Intel Core i7-3770 3.40ghz 8mb Oem LGA  1155,340.88
4,2026-03-26,Kabum,Intel,Processador Intel Core i7-2600 3.40ghz 8mb Oem LGA  1155,344.4
5,2026-03-26,Kabum,Intel,"Processador Intel i7-6700 / 3,4ghz / 8mb Cache / FcLGA 1151",477.32
6,2026-03-26,Kabum,Intel,"Processador Intel i7-7700 4,2ghz 8mb Cache FcLGA 1151",484.52
7,2026-03-26,Kabum,Intel,"Processador Intel Core I7 7700, 3.60GHz 7ª Geração, Cache 8MB, 8 Threads - OEM  - 1151",539.03
8,2026-03-26,Kabum,Intel,"Processador Intel I7-8700 4.6GHz, Cache 12MB, 12 Threads - Fclga1151",965.18
9,2026-03-26,Terabyte,Intel,"Processador Intel Core i7 12700KF 3.6GHz (5.0GHz Turbo), 12ª Geração, 12-Cores 20-Threads, LGA 1700, Sem",1599.9
10,2026-03-26,Terabyte,Intel,"Processador Intel Core i7 12700F 2,1GHz (4.9GHz Turbo), 12ª Geração, 12-Cores 20-Threads, LGA 1700, Com C",1609.99
11,2026-03-26,Terabyte,Intel,"Processador Intel Core i7 12700K 3.6GHz (5.0GHz Turbo), 12ª Geração, 12-Cores 20-Threads, LGA 1700, Sem C",1649.9
12,2026-03-26,Kabum,Intel,"Processador Intel Core i7-12700K, 3.6GHz (5.0GHz Max Turbo), 12 Núcleos, 20 Threads, LGA 1700, Vídeo Integrado - BX8071512700K",1749.99
13,2026-03-26,Terabyte,Intel,"Processador Intel Core i7 12700 2,1GHz (4.9GHz Turbo), 12ª Geração, 12-Cores 20-Threads, LGA 1700, Com Co",1779.9
14,2026-03-26,Kabum,Intel,"Processador Intel Core I7-12700K, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700K",1819.09
15,2026-03-26,Terabyte,Intel,"Processador Intel Core i7 14700F, 3.4 GHz (5.4GHz Turbo), 14ª Geração, 20-Cores 28-Threads, LGA 1700, BX8",1859.9
16,2026-03-26,Kabum,Intel,"Processador Intel Core i7-14700KF, 14ª Geração, 5.6 GHz Max Turbo, Cache 33MB, 20 Núcleos, 28 Threads, LGA1700 - BX8071514700KF",1999
17,2026-03-26,Terabyte,Intel,"Processador Intel Core i7 14700, 3.4 GHz (5.4GHz Turbo), 14ª Geração, 20-Cores 28-Threads, LGA 1700, BX80",1999.9
18,2026-03-26,Terabyte,Intel,"Processador Intel Core i7 14700KF, 3.4 GHz (5.6GHz Turbo), 14ª Geração, 20-Cores 28-Threads, LGA 1700, BX",2009.99
19,2026-03-26,Kabum,Intel,"Processador Intel Core I7-14700f, Turbo Até 5.4ghz, 20-cores, 28-threads, 33mb Cache, LGA 1700 - Bx8071514700f",2155.55
20,2026-03-26,Kabum,Intel,"Processador Intel Core I7-10700KF, 3.8GHz (5.1GHz Max Turbo), Cache 16MB, LGA 1200 - BX8070110700KF",2200.39
21,2026-03-26,Kabum,Intel,"Processador Intel I7 12700 12ª Geração, 2.1GHz (Turbo 4.90Ghz), Cache 25MB, Dual Core, 20 Threads, LGA 1700 - BX8071512700",2208
22,2026-03-26,Terabyte,Intel,"Processador Intel Core i7 14700K, 3.4 GHz (5.6GHz Turbo), 14ª Geração, 20-Cores 28-Threads, LGA 1700, BX8",2299.9
23,2026-03-26,Kabum,Intel,"Processador Intel Core i7-14700K, 14ª Geração, 5.6 GHz Max Turbo, Cache 33MB, 20 Núcleos, 28 Threads, LGA1700 - BX8071514700K",2299.99
24,2026-03-26,Kabum,Intel,"Processador Intel Core I7-10700KA, 3.8GHz, Cachê 16MB, Octa Core, LGA 1200 - BX8070110700KA",2335.14
25,2026-03-26,Kabum,Intel,"Processador Intel Core I7-11700KF 11ª Geração, 3.6GHz (4.9GHz Turbo), Cache 16MB, LGA 1200 - BX8070811700KF",3066.89
